Unnamed: 0,MGTNO,APVPERMYMD,TRDSTATENM,SITEAREA,SITEPOSTNO,SITEWHLADDR,RDNWHLADDR,BPLCNM,UPTAENM,X,Y,TRDPJUBNSENM,WTRSPLYFACILSENM,dong,exemplary_diner,keyword,id,id_mod,id_mod2
9585,3220000-101-2021-01244,2021-10-18,영업/정상,96.58,135-891,서울특별시 강남구 신사동 568-4,서울 강남구 압구정로18길 17,스모크(Smoke),기타,202132.445535678,446852.85834427,,,신사동,,스모크,['1912477220'],1584134665,1584134665
9586,3220000-101-2021-01245,20211018,영업/정상,152.04,135887,서울특별시 강남구 신사동 508 ,서울 강남구 도산대로1길 36,청자매운소돼지갈비찜,한식,201670.69965165,446319.620025305,,,신사동,,청자매운소돼지갈비찜,,103781687,103781687
9587,3220000-101-2021-01246,20211018,영업/정상,85.00,135893,서울특별시 강남구 신사동 590-21 다우빌딩 ,서울 강남구 논현로152길 3,아더스시,일식,202452.420024241,446524.507832983,,,신사동,,아더스시,['574798358'],939318233,939318233
9588,3220000-101-2021-01249,2021-10-18,영업/정상,80.00,135-892,서울특별시 강남구 신사동 585-2,서울 강남구 도산대로27길 40,사치,한식,202371.65,446685.535,,,신사동,,사치,['897122735'],2080612804,2080612804
9589,3220000-101-2021-01250,20211018,영업/정상,33.00,135924,서울특별시 강남구 역삼동 745-3 ,서울 강남구 논현로79길 7,무국적식탁 강남점,한식,203256.142444586,443929.470450975,,,역삼동,,무국적식탁 강남,['1444443249'],1486976026,1486976026
9590,3220000-101-2021-01252,20211018,영업/정상,11.00,135888,서울특별시 강남구 신사동 521 ,서울 강남구 강남대로162길 20,티이,감성주점,201728.343288882,446420.44530849,,,신사동,,티이,['812152063'],221287732,221287732
9591,3220000-101-2021-01254,2021-10-19,영업/정상,125.62,135-897,서울특별시 강남구 신사동 663-11,서울 강남구 언주로172길 60,박대박,한식,203340.647384124,447170.103028229,,,신사동,모범식당지정,박대박,['1634597044'],1377334197,1377334197
9592,3220000-101-2021-01255,20211019,영업/정상,37.47,135935,서울특별시 강남구 역삼동 827-43,서울 강남구 강남대로84길 26,대치동집 2호점,한식,202649.717530025,443859.739535221,,,역삼동,,대치동집 2호,['2115714823'], , 
9593,3220000-101-2021-01256,20211019,영업/정상,79.25,135896,서울특별시 강남구 신사동 648-23 ,서울 강남구 압구정로46길 71-1,이크네,기타,203183.933482119,446875.738387109,,,신사동,,이크네,, , 
9594,3220000-101-2021-01257,2021-10-19,영업/정상,474.00,135-897,서울특별시 강남구 신사동 663-2,서울 강남구 압구정로50길 25,동굴,정종/대포집/소주방,203285.427535442,447152.405790445,,,신사동,,동굴,, , 
9595,3220000-101-2021-01258,20211021,영업/정상,79.11,135878,서울특별시 강남구 삼성동 152-25 ,서울 강남구 테헤란로81길 58-4,스시 하쿠샤,일식,204898.313689901,445352.00213184,,,삼성동,,스시 하쿠샤,,1917339424,1917339424
9596,3220000-101-2021-01259,2021-10-21,영업/정상,152.52,135-889,서울특별시 강남구 신사동 541-2 호경빌딩,서울 강남구 논현로151길 55,마담타이,"외국음식전문점(인도,태국등)",202023.586080263,446361.308115147,,,신사동,,마담타이,['220544074'],1912477220,1912477220
9597,3220000-101-2021-01262,2021-10-21,영업/정상,88.14,135-931,서울특별시 강남구 역삼동 817-2,서울 강남구 강남대로98길 12,유니네 고깃간,한식,202379.008996374,444268.714347392,,,역삼동,,유니네 고깃간,['302203396'], , 
